source,title,description,category,publishedAt
finews.ch,Ex-CS-Händler ist heute Bitcoin-Milliardär,"Er handelte während drei Jahren für die Credit Suisse Derivate, dann gründete er am Küchentisch einen Hedgefonds. Heute ist Kyle Davies ein Bitcoin- und Krypt-Milliardär. Elon Musks Einfluss hält er für überwertet.",technology,2021-05-27T12:02:00Z
Blockchain-Hero,Bei diesem Bitcoin-Preis wird PlanB seine BTC verkaufen,"PlanB ist bekannt für sein Stock-to-Flow-Modell, mit dessen normalen Modell er einen Bitcoin-Preis von 100.000 USD vorhersieht. Jetzt hat er auch bekannt gegeben, ab wann er verkaufen wird.",technology,2021-05-27T06:04:19Z
 Cash,"Börse - ""Artificial Intelligence"": 10 Megatrend-Aktien mit Potenzial","Dividenden-Titel lohnen sich weiterhin für Anleger, die neben potenziellen Kursgewinnen auch regelmässige Gewinnbeteiligungen in Form von Auszahlungen schätzen. Die Schweiz bietet hier einige wahre Dividenden-Könige. Doch auch im Ausland werden Dividendenjäger fündig.",technology,2021-05-27T06:04:00Z
 Cash,Börse - Bitcoin und Ether: Investment-Urgestein Icahn will auf Krypto setzen,Der 85-jährige aktivistische Investor Carl Icahn will in «grossem Stil» in den Krypto-Sektor einsteigen und könnte letztlich mehr als 1 Milliarde Dollar in eine alternative Währung investieren.,technology,2021-05-27T05:41:00Z
"CryptoTicker.io - Bitcoin Kurs, Ethereum Kurs & Crypto News",Wann werden wir die $5 Marke sehen?,Der Cardano Kurs konnte bereits zwei Mal das GoldenPocket testen. Doch ist nun die Korrektur vorbei? Könnten wir bald die $5 sehen?,technology,2021-05-26T18:01:00Z
BILD,Haartransplantation: Ein Roboter hat meine Geheimratsecken weg gemacht,Alexander Kammerer (43) leidet unter Geheimratsecken. Die kahlen Stellen am Vorderkopf soll ihm ein Haar-Roboter wieder auffüllen.,technology,2021-05-26T17:44:21Z
BTC-ECHO | Bitcoin & Blockchain Pioneers,Bitcoin-Kurs: Nach dem Zusammenbruch folgt der Wiederaufbau,"Bitcoin erreicht sein anvisiertes Kursziel bei 30.000 USD, um in den letzten Handelstagen wieder bis an die 40.000 USD anzusteigen.",technology,2021-05-26T15:58:00Z
Www.nau.ch,Bei Vanessa Mai wurde «Zellveränderung» diagnostiziert,Bei Vanessa Mai wurde vor wenigen Monaten eine «Zellveränderung» festgestellt. Nun will die Schlagersängerin beim Thema Frauengesundheit mitanpacken.,entertainment,2021-05-27T19:08:10Z
20 Minuten,Der Rosenkrieg hat ein Ende - Brad Pitt gewinnt das gemeinsame Sorgerecht für die Kinder,"Der Kampf um das gemeinsame Sorgerecht für die Kinder von Brad Pitt und Angelina Jolie hat, zumindest vorerst, ein Ende. Gemäss «Page Six» hat Brad den Streit gewonnen.",entertainment,2021-05-27T17:39:33Z
20 Minuten,Kevin Clark - «School of Rock»-Star stirbt bei Fahrradunfall,"Kevin Clark, einer der Jugendlichen aus «School of Rock» mit Jack Black, starb am Mittwoch bei einem Verkehrsunfall. Der 32-Jährige wurde von einem Auto erfasst und starb wenig später im Spital.",entertainment,2021-05-27T14:20:26Z
20 Minuten,Reality-Star - Kim Kardashian fällt durch die erste Jura-Prüfung,"Die Unternehmerin besteht nach Ende des ersten Studienjahrs wegen 86 Punkten knapp ihr erstes Examen nicht. Ob sie die Prüfung in ein paar Wochen oder erst in einem Jahr wiederholt, weiss sie noch nicht.",entertainment,2021-05-27T09:42:04Z
20 Minuten,Liebesgerüchte - Ist Kanye West jetzt mit Irina Shayk zusammen?,Musiker Kanye West und Model Irina Shayk wurden bei einem Date gesichtet. Gerade erst wurde der Rapper noch mit Ehering am Finger abgelichtet.,entertainment,2021-05-27T08:51:33Z
Watson.ch,«Sex and the City»-Serie startet - mit dabei ist ein Überraschungsgast,"Im Januar hatte HBO Max die Neuauflage der Kultserie verkündet - mit Sarah Jessica Parker, Cynthia Nixon und Kristin Davis als Hauptdarstellerinnen.",entertainment,2021-05-27T07:00:00Z
Www.nau.ch,Heidi Klum und ihr Vater Günther Klum streiten sich um Leni Klum,Riesenzoff zwischen Heidi Klum und ihrem Vater. Papa Günther soll ohne das Wissen seiner Tochter den Namen seiner Enkelin Leni als Marke angemeldet haben.,entertainment,2021-05-27T06:12:14Z
Www.nau.ch,Xavier Naidoo: Sein neuer Anti-Corona-Song bringt Gemüter zum Kochen,«Ich mach da nicht mit»: So heisst der neue Song von Xavier Naidoo. Klar im Vordergrund steht die Kritik gegenüber Corona-Massnahmen und der Impfung.,entertainment,2021-05-27T06:02:36Z
Blick.ch,«Tierli-Moser»: Abschied mit Misstönen,Er war einer der letzten Dinosaurier des Schweizer Fernsehens: Heute Abend verschwindet der Basler Tierfilmer Andreas Moser (65) nach 33 Jahren vom Bildschirm. Sein Abgang verläuft nicht ohne Nebengeräusche.,entertainment,2021-05-27T04:57:33Z
Www.nau.ch,«GNTM»: Das gab es noch nie im Finale,Das gab es noch nie in einem «GNTM»-Finale. Heidi Klum wird in der 16. Staffel komplett alleine sein.,entertainment,2021-05-27T03:34:00Z
Blick.ch,Hat Harry sein Grosi betrogen? Queen gab Enthüllungsdoku ihren Segen,"Die Queen soll Prinz Harry 2018 ihren Segen gegeben haben, an einer TV-Dokumentation mit Oprah Winfrey zu arbeiten. Es ist die Doku-Serie, in der Harry scharf gegen die royale Familie schiesst. Dabei soll er «eindeutig irreführend»kommuniziert haben.",entertainment,2021-05-27T02:34:01Z
Blick.ch,Frauen-Metal-Band Burning Witches aus Brugg AG macht weltweit Schlagzeilen,"Medien im In- und Ausland reissen sich um die Aargauer Metal-Band Burning Witches, Tourneen in den USA und Südamerika sind geplant.",entertainment,2021-05-26T23:26:08Z
Www.nau.ch,"Gjon's Tears: «Schade, dass am Ende Doppeladler hängen blieb»",Der Schweizer ESC-Star Gjon's Tears erzählt im Nau.ch-Interview über seine Zukunftspläne. Zudem findet er klare Worte zur Doppeladler-Diskussion.,entertainment,2021-05-26T22:08:55Z
20 Minuten,«Charlie bit my finger – again» - Viraler Hit soll von Youtube verschwinden,"Fast 900 Millionen Mal wurde das Video bereits angeklickt, nun wurde der NFT für 680’000 Franken versteigert. Damit dürften die Tage des Clips auf Youtube gezählt sein.",entertainment,2021-05-26T19:40:03Z
Watson.ch,«Friends: The Reunion»: Das musst du über die Erfolgs-Sitcom wissen,"Hier ist eine kleine Einleitung in das Universum der Sitcom «Friends», die seit 17 Jahren zu Ende, aber unsterblich ist.geschah.",entertainment,2021-05-26T17:53:00Z
Blick.ch,Danni Büchner wehrt sich gegen Körper-Kritik an Tochter Joelina Karabas,Joelina Karabas wollte ein liebevolles Bild mit ihrem Mami Danni Büchner teilen. Wegen ihrer Figur wird die Influencerin fies beleidigt. TV-Auswanderin Danni Büchner macht sich für ihre Tochter stark.,entertainment,2021-05-26T16:21:53Z
20 Minuten,«Du hörst das gar nie» - Kim Kardashians Tochter stellt auf Insta ihr Mami bloss,Im Rahmen von Superstar Olivia Rodrigos «Sour»-Album-Release schwärmt Kim Kardashian auf Instagram von der Sängerin. Tochter North steht Mamas Fandom aber kritisch gegenüber.,entertainment,2021-05-26T16:07:09Z
Blick.ch,Prinz William fordert Streichung von Diana im Netflix-Hit «The Crown»,"Prinz William soll besorgt darüber sein, wie seine Mutter Prinzessin Diana im Netflix-Hit «The Crown» dargestellt wird. Er fordert, sie aus der Serie zu streichen.",entertainment,2021-05-26T14:31:34Z
BLICK,Heidi Klum hat Zoff mit Vater Günther und Ex Seal,"Heidi Klum hat gleich mit mehreren Familienmitgliedern Ärger: Papa Günther wollte sich ohne ihr Wissen die Markenrechte an Enkeltochter Lenis Name sichern, Ex-Mann Seal kritisiert derweil Klums Teamfähigkeit.",entertainment,2021-05-27T16:26:55Z
