source,title,description
blick.ch,Luca Hänni musste Christina Luft aus «Durch die Nacht» schneiden - BLICK,Aus einer spontanen Eingebung heraus liess Luca Hänni seine Freundin Christina Luft auf seiner neuen Single «Durch die Nacht» mitsingen. In der fertigen Fassung ist die Tänzerin allerdings nicht zu hören.
20 minuten,Rankin für Relate - In dieser sinnlichen Kampagne dreht sich alles um Sex im Alter - 20 Minuten,Über Intimität im Alter wird selten gesprochen. Mit seiner neuen Werbekampagne will Heidi Klums Lieblingsfotograf das ändern. Dafür hat Rankin ältere Menschen in intimen Momenten abgelichtet.
blick,Openair Flumserberg von 2021 auf 2022 verschoben,Die Aussicht für den Festivalsommer 2021 wird immer trüber. Nun sagt mit dem Flumserberg Open Air das nächste Festival seine Durchführung in diesem Jahr ab.
20 minuten,Die Queen of Pop in Ezgi Cinar,In ihrem neuesten Instagram-Post sehen wir Madonna in verführerischen Posen und mit heissem Look. Dafür setzt sie bereits zum zweiten Mal auf einen Entwurf der Schweizer Designerin Ezgi Cinar.
gmx.ch,Jan Josef Liefers: Habe mich für #allemalneschichtmachen angemeldet,"Mit einer Video-Aktion haben zahlreiche Schauspieler die Corona-Politik kritisiert und dafür Gegenwind erfahren. Bei einem Streitgespräch haben Jan Josef Liefers und Gesundheitsminister Jens Spahn nun ihre Standpunkte in der Debatte dargelegt.
Der Schauspieler will demnächst eine Schicht lang im medizinischen Bereich arbeiten."
blick,"Heidi Klum soll ""GNTM""-Konkurrenz von ihrem Vater Günther bekommen",Seit 16 Staffeln sucht Heidi Klum Nachwuchsmodels in ihrer Casting-Show «Germany's Next Topmodel». Nun soll diese Konkurrenz bekommen – ausgerechnet von ihrem Vater Günther.
20 minuten,ProSieben-Moderator Daniel Aminati hat sich mit Eva Fischer verlobt,"Der deutsche Moderator Daniel Aminati verrät mit einem Kniefall-Foto auf Instagram, dass er sich mit Freundin Patrice Eva Fischer verlobt hat."
www.nau.ch,"Xherdan Shaqiri: Sevilla, Roma und Lazio zeigen Interesse - Nau.ch",Xherdan Shaqiri will sich laut britischen Medien bei Liverpool verabschieden. Zwischen drei Vereinen könnte ein Kampf um den Schweizer entbrennen.
blick.ch,Italiens Ruder-Weltmeister Mondelli (†26) ist tot - BLICK,Je drei EM- und WM-Medaillen gewann Filippo Mondelli ist seiner Karriere. Nun ist der italienische Ruderer 26-jährig gestorben.
watson.ch,Sport-News: U18-Nati verliert gegen den Titelverteidiger - watson - watson,"Die wichtigsten News aus der weiten Welt des Sports, Fussball, Eishockey, Boxen, E-Sport und mehr."
watson.ch,FC Basel: Noch sechs Tage – sonst droht das Tribunal vor grosser Kulisse - watson,"David Degen und das Präsidium des FC Basel wollen sich im Machtstreit um den FC Basel einigen. Sonst droht ein Prozess, der aufgrund des öffentlichen Interesses im Messezentrum stattfinden wird – unter erhöhten Sicherheitsvorkehrungen."
